今,いま,ima,現在
意味,いみ,imi,意思
入口,いりぐち,iriguchi,入口
色,いろ,iro,色
雨,あめ,ame,雨
家,いえ,ie,家
手,て,te,手
人,ひと,hito,人
車,くるま,kuruma,車
駅,えき,eki,車站
左,ひだり,hidari,左邊
右,みぎ,migi,右邊
学校,がっこう,gakkou,學校
店員,てんいん,tenin,店員
椅子,いす,isu,椅子
鉛筆,えんぴつ,enpitsu,鉛筆
書,ほん,hon,書
水,みず,mizu,水
雨天,あめふり,amefuri,下雨
乗る,のる,noru,乘坐
聞く,きく,kiku,聽
話す,はなす,hanasu,說
寝る,ねる,neru,睡
起きる,おきる,okiru,起床
見る,みる,miru,看
使う,つかう,tsukau,使用
買う,かう,kau,買
食べる,たべる,taberu,吃
飲む,のむ,nomu,喝
歩く,あるく,aruku,走路
働く,はたらく,hataraku,工作
分かる,わかる,wakaru,理解
新しい,あたらしい,atarashii,新的
古い,ふるい,furui,舊的
大きい,おおきい,ookii,大的
小さい,ちいさい,chiisai,小的
高い,たかい,takai,高/貴
安い,やすい,yasui,便宜的
暑い,あつい,atsui,熱的
寒い,さむい,samui,冷的
面白い,おもしろい,omoshiroi,有趣的
楽しい,たのしい,tanoshii,快樂的
悲しい,かなしい,kanashii,悲傷的
難しい,むずかしい,muzukashii,困難的
簡単,かんたん,kantan,簡單的
強い,つよい,tsuyoi,強的
弱い,よわい,yowai,弱的
早い,はやい,hayai,快的
遅い,おそい,osoi,慢的
甘い,あまい,amai,甜的
苦い,にがい,nigai,苦的
白い,しろい,shiroi,白的
黒い,くろい,kuroi,黑的
赤い,あかい,akai,紅的
青い,あおい,aoi,藍的
黄色い,きいろい,kiiroi,黃的
緑,みどり,midori,綠的
女,おんな,onna,女人
男,おとこ,otoko,男人
友達,ともだち,tomodachi,朋友
家族,かぞく,kazoku,家人
部屋,へや,heya,房間
町,まち,machi,街道
店,みせ,mise,商店
電車,でんしゃ,densha,電車
自転車,じてんしゃ,jitensha,腳踏車
時間,じかん,jikan,時間
日曜日,にちようび,nichiyoubi,星期日
月曜日,げつようび,getsuyoubi,星期一
火曜日,かようび,kayoubi,星期二
水曜日,すいようび,suiyoubi,星期三
木曜日,もくようび,mokuyoubi,星期四
金曜日,きんようび,kinyoubi,星期五
土曜日,どようび,doyoubi,星期六
昨日,きのう,kinou,昨天
明日,あした,ashita,明天
前,まえ,mae,前
後,あと,ato,後
上,うえ,ue,上
下,した,shita,下
中,なか,naka,中
外,そと,soto,外
左,ひだり,hidari,左
右,みぎ,migi,右
丸,まる,maru,圓
四角,しかく,shikaku,方形
三角,さんかく,sankaku,三角形
曇り,くもり,kumori,多雲
雪,ゆき,yuki,雪
風,かぜ,kaze,風
火,ひ,hi,火
水,みず,mizu,水
木,き,ki,樹
花,はな,hana,花
魚,さかな,sakana,魚
肉,にく,niku,肉
野菜,やさい,yasai,蔬菜
果物,くだもの,kudamono,水果
ご飯,ごはん,gohan,飯
パン,パン,pan,麵包
卵,たまご,tamago,蛋
茶,ちゃ,cha,茶
紅茶,こうちゃ,koucha,紅茶
牛乳,ぎゅうにゅう,gyuunyuu,牛奶
酒,さけ,sake,日本酒
ビール,ビール,biiru,啤酒
買い物,かいもの,kaimono,購物
旅行,りょこう,ryokou,旅行
手紙,てがみ,tegami,信
電話,でんわ,denwa,電話
本,ほん,hon,書
雑誌,ざっし,zasshi,雜誌
絵,え,e,畫
写真,しゃしん,shashin,照片
音楽,おんがく,ongaku,音樂
映画,えいが,eiga,電影
スポーツ,スポーツ,supo-tsu,運動
山,やま,yama,山
川,かわ,kawa,河
海,うみ,umi,海
森,もり,mori,森林
橋,はし,hashi,橋
道,みち,michi,道路
空港,くうこう,kuukou,機場
病院,びょういん,byouin,醫院
駅前,えきまえ,ekimae,車站前
